Pais_traduzido,cod_pais,pib_dolar_2012,pib_dolar_2016,pop_total_2012,pop_total_2016,gastos_edu_pib_perc_2012,gastos_edu_pib_perc_2016
Burundi,BDI,2333341334.45753,2644487776.50077,10071028.0,11239451.0,6.03472852706909,4.96585083007812
Cabo Verde,CPV,1913081210.41411,1849789992.7426,511955.0,512554.0,5.39769554138184,4.75475978851318
Camboja,KHM,17826536699.8016,26556545153.3573,14945085.0,15852803.0,1.41441452503204,1.87081909179688
Camarões,CMR,30155062329.2821,33814337044.3765,20809529.0,23454161.0,2.60306000709534,2.56234002113342
Canadá,CAN,1828366481521.6,1527994741907.43,34713395.0,36110803.0,4.69258737564087,4.81642007827759
República Centro-Africana,CAF,2510126512.22831,1825018144.65595,4610848.0,4713663.0,1.98034727573395,1.75408899784088
Chade,TCD,12367362757.1342,10097778098.1707,13210998.0,15114655.0,2.20615005493164,2.38847589492798
China,CHN,8532185381680.59,11233313730348.7,1354190000.0,1387790000.0,4.29788875579834,4.20638513565063
Costa Rica,CRI,47231655431.7355,58847019609.6549,4663934.0,4866998.0,6.58239984512329,6.89395999908447
Costa do Marfim,CIV,36302302877.2977,48407761036.8238,23467078.0,25989405.0,3.4344699382782,3.93593001365662
Croácia,HRV,57551963753.2104,52654855638.1057,4260368.0,4106867.0,5.22161388397217,4.89622449874878
Cuba,CUB,73141000000.0,91370407863.7,11303175.0,11265612.0,11.5516605377197,9.01313304901123
Chipre,CYP,25047436974.6819,21046462280.5979,1165397.0,1237112.0,5.89526700973511,6.11811017990112
Tchéquia,CZE,210363223087.728,198160659303.939,10510785.0,10566332.0,4.22070980072021,5.55373001098633
Dinamarca,DNK,326792574244.963,312181849372.233,5591572.0,5728010.0,7.23782014846802,7.69106006622314
Djibuti,DJI,1353632941.5207,2604955228.70117,966747.0,1037653.0,6.35127544403076,3.92226004600525
Dominica,DMA,485996296.296296,576229629.62963,69118.0,69606.0,4.39310455322266,5.12971973419189
Equador,ECU,87735048000.0,97671433000.0,15572194.0,16505139.0,4.65310001373291,4.36274814605713
El Salvador,SLV,21386150000.0,24191430000.0,6113975.0,6200800.0,3.7124400138855,3.82523989677429
Estônia,EST,23237406116.3988,24561027787.7896,1322696.0,1315790.0,4.71772003173828,5.15763998031616
Essuatíni,SWZ,4886551483.93374,3705918654.13708,1123863.0,1149507.0,5.5932822227478,5.43355321884155
Etiópia,ETH,43310721414.0829,74296745207.8721,95798767.0,106718162.0,5.56678009033203,5.06151390075684
Fiji,FJI,3972028104.47328,4930213634.35692,914918.0,919166.0,4.46150588989258,4.83590269088745
Finlândia,FIN,257443384492.969,238777818792.608,5413971.0,5495303.0,7.14803981781006,6.85153007507324
França,FRA,2683007095787.23,2470407619777.13,65657659.0,66724104.0,5.48835611343384,5.40805816650391
Gabão,GAB,17170464016.0593,14023890265.3665,1846889.0,2100306.0,3.01340007781982,2.66773080825806
