Pais_traduzido,Ano,num_atletas_unicos,idade_media,num_eventos,porcentagem_feminino,hhi_esportes,pct_jovens_menor_23,pib_dolar,pop_total,gastos_edu_pib_perc,pontuacao_total
Hungria,2016,153,27.03267973856209,113,42.48366013071895,0.10988362287063586,21.568627450980394,128.609822750039,9.814023,4.61547994613647,34.0
Indonésia,2012,20,24.0,14,45.0,0.31,25.0,917.869913364917,252.698525,3.40748000144958,3.0
Indonésia,2016,28,24.964285714285715,20,39.285714285714285,0.22704081632653061,25.0,931.877364034196,264.627418,1.21023452281952,7.0
Irlanda,2012,61,28.459016393442624,51,45.90163934426229,0.1615157215802204,13.114754098360656,227.270922957327,4.599533,5.76235008239746,8.0
Irlanda,2016,76,28.644736842105264,57,34.21052631578947,0.12846260387811634,10.526315789473683,305.73313618090697,4.755335,3.74674010276794,4.0
Islândia,2012,25,28.04,19,20.0,0.3824,20.0,14.7515081335443,0.320716,7.58223009109497,0.0
Islândia,2016,8,24.375,14,62.5,0.3125,50.0,20.7931680309524,0.335439,7.43219995498657,0.0
Israel,2012,36,24.916666666666668,41,47.22222222222222,0.12962962962962965,33.33333333333333,262.917911696944,7.9105,5.58893013000488,0.0
Israel,2016,47,25.0,45,53.191489361702125,0.11362607514712537,19.148936170212767,320.958936788842,8.546,5.79980993270874,2.0
Itália,2012,277,27.494584837545126,169,43.32129963898917,0.06869632081742238,14.079422382671481,2097.92949512168,59.539717,4.05601978302002,53.0
Itália,2016,309,27.15210355987055,171,45.63106796116505,0.06716519516971962,19.741100323624593,1887.11118817693,60.627498,3.81578993797302,56.0
Jamaica,2012,45,26.155555555555555,25,48.888888888888886,0.8725925925925927,20.0,14.807086555528299,2.77243,6.11246013641357,24.0
Jamaica,2016,54,25.074074074074073,32,57.407407407407405,0.8593964334705075,33.33333333333333,14.077096714127899,2.809915,5.31461000442505,23.0
Japão,2012,277,25.494584837545126,175,53.068592057761734,0.07070338463944534,29.602888086642597,6272.36299610503,127.629,3.41945004463196,63.0
Japão,2016,335,25.81492537313433,186,48.95522388059702,0.060049008687903756,27.164179104477608,5003.67762754424,127.076,3.14643001556396,73.0
Lesoto,2012,3,23.666666666666668,3,33.33333333333333,1.0,33.33333333333333,2.47770221626888,2.034354,7.67000007629395,0.0
Lesoto,2016,2,26.0,3,0.0,1.0,0.0,2.1144264522019,2.130422,7.55247402191162,0.0
Letônia,2012,45,26.488888888888887,38,31.11111111111111,0.2711111111111112,22.22222222222222,27.1161499486683,2.034319,6.58270978927612,4.0
Letônia,2016,32,26.71875,25,40.625,0.205078125,15.625,27.117105059507498,1.959537,4.65749979019165,0.0
Libéria,2012,3,27.333333333333332,3,66.66666666666666,1.0,0.0,2.791614,4.373043,1.77711999416351,0.0
Lituânia,2012,60,27.316666666666666,48,36.666666666666664,0.17444444444444446,11.666666666666666,42.7093720668627,2.987773,4.75802993774414,10.0
